epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8701,2.10049,3.08803,1.87154,0.00527,0.97203,0.29374,0.09317,1.91709,3.11474,1.63868,0.00034,0.00034,0.00034
2,31.6538,1.74713,2.252,1.58053,0.01031,0.96503,0.69769,0.35485,1.31133,2.57958,1.28622,0.0005614,0.0005614,0.0005614
3,46.3706,1.71029,1.97606,1.5405,0.59803,0.65734,0.63135,0.32316,1.42057,2.15121,1.33151,0.00064024,0.00064024,0.00064024
4,59.4574,1.63217,1.8743,1.46464,0.64076,0.71097,0.71824,0.39351,1.42721,1.8133,1.33235,0.00057652,0.00057652,0.00057652
5,71.7468,1.58491,1.82392,1.43917,0.72637,0.79821,0.81466,0.44238,1.39833,1.53437,1.31943,0.00037024,0.00037024,0.00037024
