epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3793,2.03835,3.08082,1.84693,0.00534,0.98601,0.39457,0.1658,1.63521,2.99633,1.40857,0.00034,0.00034,0.00034
2,96.0155,1.71264,2.20656,1.52086,0.86861,0.18498,0.63792,0.33995,1.3275,2.55705,1.24977,0.0005614,0.0005614,0.0005614
3,149.418,1.69445,1.9927,1.49151,0.69869,0.63243,0.69619,0.34387,1.47818,2.31955,1.42506,0.00064024,0.00064024,0.00064024
4,194.308,1.61153,1.85688,1.46199,0.69041,0.71738,0.71616,0.36855,1.44951,2.15794,1.37993,0.00057652,0.00057652,0.00057652
5,239.848,1.5898,1.74515,1.42518,0.8142,0.70481,0.76662,0.44984,1.38546,1.87358,1.33825,0.00037024,0.00037024,0.00037024
