epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76272,2.0958,3.18803,1.90618,0.00527,0.97203,0.56856,0.25694,1.48859,2.83683,1.40798,0.00034,0.00034,0.00034
2,14.0866,1.72197,2.23177,1.58076,0.76655,0.48222,0.66425,0.31685,1.42832,2.5734,1.3429,0.0005614,0.0005614,0.0005614
3,18.9496,1.62953,2.00011,1.47454,0.73837,0.47367,0.65194,0.34511,1.42191,2.4201,1.39298,0.00064024,0.00064024,0.00064024
4,23.3373,1.62856,1.8386,1.4555,0.63006,0.67832,0.71102,0.39764,1.36985,1.73146,1.2524,0.00057652,0.00057652,0.00057652
5,27.6915,1.57386,1.7975,1.42385,0.8017,0.60839,0.78475,0.43389,1.4569,1.6963,1.30727,0.00037024,0.00037024,0.00037024
